trial,learning_rate,n_steps,ent_coef,net_arch,activation_fn,n_epochs,clip_range,batch_size,survival_rate,mean_return
252,0.0001,2048,0.005,"[256, 128]",ReLU,5,0.1,128,0.715,0.6960000000000001
318,0.0001,2048,0.01,"[256, 128]",Tanh,10,0.1,128,0.715,0.6724625000000001
525,0.0003,1024,0.01,"[256, 128]",ReLU,10,0.1,128,0.715,0.645275
303,0.0001,2048,0.01,"[128, 128]",Tanh,20,0.1,128,0.715,0.641775
199,0.0001,1024,0.01,"[256, 128]",ReLU,5,0.2,128,0.715,0.710025
591,0.0003,2048,0.005,"[256, 128]",Tanh,20,0.1,128,0.715,0.6548875
532,0.0003,1024,0.01,"[256, 128]",Tanh,5,0.2,128,0.715,0.6690750000000001
533,0.0003,1024,0.01,"[256, 128]",Tanh,5,0.3,128,0.715,0.6807499999999999
1,0.0001,512,0.005,"[64, 64]",ReLU,5,0.2,128,0.715,0.6947375
112,0.0001,1024,0.005,"[64, 64]",ReLU,10,0.2,128,0.715,0.7144375
373,0.0003,512,0.005,"[256, 128]",Tanh,10,0.2,128,0.715,0.6355375
539,0.0003,1024,0.01,"[256, 128]",Tanh,20,0.3,128,0.715,0.6509125
